Reporte Mensual de Cartera - Union de Credito Industrial del Noreste,,,
Periodo: Agosto 2026,,,
Fecha de corte: 31/08/2026,,,
,,,
Concepto,Monto MXN,,
Saldo insoluto al corte,110200000,,
Saldo insoluto anterior,108900000,,
Colocacion del mes,5800000,,
Cobranza del mes,5510000,,
,,,
Cartera vigente,107890000,,
Cartera vencida 1-30 dias,980000,,
Cartera vencida 31-60 dias,720000,,
Cartera vencida 61-90 dias,380000,,
Cartera vencida mayor a 90 dias,230000,,
Total cartera vencida,2310000,,
IMOR (%),2.10,,
,,,
Aforo actual (x),1.42,,
Valor garantias,156500000,,
,,,
Numero de socios activos,847,,
Numero de socios nuevos en el mes,12,,
Ticket promedio (MXN),130106,,
Sector principal,Metalmecanica y autopartes,,
,,,
Elaboro,C.P. Ricardo Berlanga Montemayor,,
Cargo,Tesorero,,
Firma,rberlanga@ucindustrialne.mx,,
