CAJAS SOLIDARIAS DEL GOLFO S.A. DE C.V. SOFIPO,,,,,
Formato Regulatorio Interno SOFIPO Nivel 2,,,,,
Periodo: Agosto 2026 (corte 31/08/2026),,,,,
,,,,,
1. INDICADORES REGULATORIOS,,,,,
Indicador,Valor,Regulatorio,Cumple,,
ICAP (Indice de Capitalizacion),13.4%,>11%,SI,,
ILS (Indice de Liquidez Sistemica),1.85,>1.20,SI,,
Provisiones sobre cartera vencida,110.0%,100%,SI,,
Concentracion top 10 acreditados,4.2%,<15%,SI,,
,,,,,
2. CARTERA CON FONDO DEMO DEL NORTE,,,,,
Concepto,Saldo,Calificacion promedio,Reservas,Cobertura
Cartera vigente,43550000,B1,435500,1.00%
Mora 1-30 dias,890000,B2,89000,10.00%
Mora 31-60 dias,560000,B3,140000,25.00%
Mora 61-90 dias,340000,C1,153000,45.00%
Mora mayor a 90 dias,260000,C2 y peor,247000,95.00%
TOTAL,45600000,,1064500,
,,,,,
IMOR (%),4.50,,,,
Aforo (x),1.28,,,,
Reservas / Cartera vencida (%),51.9,,,,
,,,,,
3. MOVIMIENTOS DEL MES,,,,,
Concepto,Monto MXN,,,,
Colocacion nueva,2100000,,,,
Cobranza recibida,2010000,,,,
Castigos aplicados,180000,,,,
Recuperaciones,45000,,,,
,,,,,
4. DESGLOSE POR PRODUCTO,,,,,
Producto,Saldo,Numero acreditados,Ticket promedio,IMOR
Credito grupal (microcredito),21400000,4820,4440,3.8
Credito individual consumo,15800000,1240,12742,4.9
Credito de nomina,8400000,680,12353,6.1
,,,,,
5. NOTAS DE LA TESORERIA,,,,,
Detectamos incremento en mora del producto nomina por efecto de reestructuracion en empresa cliente.,,,,,
Solicitamos autorizacion para ampliar plazo de pago con productor especifico (expediente 4482).,,,,,
,,,,,
Elaboro: L.A.E. Cinthia del Rosario Pena Valdes,,,,,
Cargo: Tesorera,,,,,
Contacto: cpena@cajassolidariasgolfo.mx,,,,,
