Cliente: Transportes Guerra Hermanos S de RL de CV,,,
RFC: TGH160228AS7,,,
Balance y Estado de Resultados Agosto 2026,,,
Fuente: CONTPAQi Contabilidad post-cierre,,,
Preparado por: CPC Adriana Villegas Torres (contadora GAC asignada),,,
Fecha cierre: 03 de septiembre 2026,,,
,,,
BALANCE GENERAL AL 31 DE AGOSTO 2026,,,
Concepto,Saldo agosto,Saldo julio,Var %
ACTIVO CIRCULANTE,,,
Caja y bancos,1245800,890400,39.9
Clientes por cobrar,2856200,2145700,33.1
IVA acreditable,485600,412300,17.8
Otras cuentas por cobrar,124500,98700,26.1
Total activo circulante,4712100,3547100,32.8
ACTIVO FIJO,,,
Equipo de transporte,18500000,18500000,0.0
Depreciacion acumulada equipo transporte,-6800000,-6650000,2.3
Equipo de oficina,285000,285000,0.0
Depreciacion acumulada equipo oficina,-142500,-138750,2.7
Total activo fijo neto,11842500,11996250,-1.3
TOTAL ACTIVO,16554600,15543350,6.5
,,,
PASIVO CIRCULANTE,,,
Proveedores,1856700,1420300,30.7
Impuestos por pagar (ISR IVA IMSS INFONAVIT ISN),1428900,1180400,21.1
Sueldos y prestaciones por pagar,485200,412700,17.6
Total pasivo circulante,3770800,3013400,25.1
PASIVO A LARGO PLAZO,,,
Credito Banregio flotilla equipo transporte,4200000,4310000,-2.6
Total pasivo largo plazo,4200000,4310000,-2.6
TOTAL PASIVO,7970800,7323400,8.8
,,,
CAPITAL CONTABLE,,,
Capital social,3500000,3500000,0.0
Utilidades acumuladas,4128950,4128950,0.0
Utilidad del ejercicio,955850,591000,61.7
TOTAL CAPITAL,8584800,8219950,4.4
TOTAL PASIVO + CAPITAL,16555600,15543350,6.5
,,,
ESTADO DE RESULTADOS AGOSTO 2026,,,
Concepto,Agosto,Julio,Var %
INGRESOS,,,
Ingresos por fletes autotransporte,7842000,7124000,10.1
Otros ingresos,158000,142000,11.3
Total ingresos,8000000,7266000,10.1
,,,
COSTOS Y GASTOS,,,
Combustible diesel,1345600,1128400,19.2
Casetas y peajes,485200,412300,17.7
Mantenimiento vehicular,428900,318600,34.6
Reparaciones mayores,145000,45000,222.2
Sueldos y salarios operadores,1980000,1875000,5.6
Sueldos administrativos,485000,485000,0.0
Prestaciones sociales,415800,392800,5.9
IMSS INFONAVIT patronal,528900,502600,5.2
Seguros vehiculares,270000,270000,0.0
Depreciacion equipo transporte,150000,150000,0.0
Renta patio operativo,85000,85000,0.0
Servicios administrativos y honorarios,72500,68000,6.6
Otros gastos operativos,225000,198000,13.6
Total costos y gastos,6616900,5929700,11.6
UTILIDAD ANTES DE IMPUESTOS,1383100,1336300,3.5
ISR provisional,427250,401590,6.4
UTILIDAD NETA,955850,934710,2.3
,,,
Utilidad neta acumulada del ejercicio (ene-ago): 6432500,,,
,,,
NOTAS PARA NIVA (para preparar reporte traducido al cliente):,,,
1. Ingresos crecieron 10% mes vs mes = OK. Justificar con volumen extra de viajes ruta Nuevo Laredo (impulso comercio USA verano),,,
2. Combustible +19% vs julio = razon principal de caida de margen. Combinacion de precio diesel al alza (~5%) + volumen extra por mas viajes.,,,
3. Reparaciones mayores +222% = unidad 015 reparacion transmision de $45K y otra reparacion menor. Explicar al cliente que fue evento puntual capitalizable (no gasto recurrente).,,,
4. Utilidad neta subio solo 2.3% pese a ingresos +10% - el mensaje al cliente es: "creciste ingresos pero el aumento de combustible y una reparacion grande te comieron la mayoria del margen extra".,,,
5. Pago SAT del mes: aprox $850K MXN (ISR provisional + IVA + retenciones + IMSS + INFONAVIT + ISN). Fecha limite: 17 de septiembre. Ricardo debe validar cifra exacta.,,,
6. Recomendacion GAC del mes: reunion con dueno para revisar estrategia de mantenimiento preventivo (evitar reparaciones mayores futuras) + revisar rutas mas rentables (Nuevo Laredo esta creciendo).,,,
