columna_excel,precio_tipico,visto_en_bloques,sku_contpaqi,nombre_contpaqi,clave_sat,unidad_sat,notas
ESTRELLA,26.50,DCA PABLO LIVAS:varios.xlsx; DCA (AZTECA-ANDENES):varios.xlsx; 008:varios.xlsx,001,TORTILLA DE MAIZ MARCA ESTRELLA,50161509,KGM,
ESTRELLA 1,26.50,DCA (INDEPENDENCIA/CENTRO):varios.xlsx,001,TORTILLA DE MAIZ MARCA ESTRELLA,50161509,KGM,"header truncado, mismo SKU que ESTRELLA"
ESTRELLA 1/2,22.10,045:varios.xlsx,021,PAQ 500 GMS TORTILLA MAIZ ESTRELLA,50161509,H87,
ESTRELLA 1/2,25.00,SILLATPROP:varios.xlsx,021,PAQ 500 GMS TORTILLA MAIZ ESTRELLA,50161509,H87,
ESTRELLA 1/2,26.00,659:varios.xlsx; 593:ortiz.xlsx; 594:ortiz.xlsx; 595:ortiz.xlsx,021,PAQ 500 GMS TORTILLA MAIZ ESTRELLA,50161509,H87,
ESTRELLA 1/2,26.50,529:varios.xlsx; (583)SAN ANGEL (LAURA ESTHER) :varios.xlsx; 132:varios.xlsx,021,PAQ 500 GMS TORTILLA MAIZ ESTRELLA,50161509,H87,
ESTRELLA 1/2,27.00,SEPULVEDA (044):varios.xlsx; DYCOMSA DEL NORTE:varios.xlsx; GM CARNES  SUC.  DIEGO DIAZ:varios.xlsx; GM CARNES  SUC.  SAN NICOLAS (:varios.xlsx; 590:varios.xlsx; F CARNES:varios.xlsx,021,PAQ 500 GMS TORTILLA MAIZ ESTRELLA,50161509,H87,
ESTRELLA 1KG,27.00,546:varios.xlsx; SUPERROMA:varios.xlsx; 392:varios.xlsx,001,TORTILLA DE MAIZ MARCA ESTRELLA,50161509,KGM,
FRIJOL,22.00,DYCOMSA DEL NORTE:varios.xlsx; 072:varios.xlsx; 671:varios.xlsx; 392:varios.xlsx,005,FRIJOL COCIDO 500g,50131700,KGM,
GELITA,27.00,008:varios.xlsx; DYCOMSA DEL NORTE:varios.xlsx; 590:varios.xlsx; 671:varios.xlsx; MELENDEZ  HACIENDA / ROMULO:melendez.xlsx,015,TORTILLA DE MAIZ 1K MARCA DOÑA GELITA,50161509,KGM,
GELITA 1KG,27.00,MELENDEZ  UROS:melendez.xlsx,015,TORTILLA DE MAIZ 1K MARCA DOÑA GELITA,50161509,KGM,
